edge_idx,u,v,edge_distance,t_pred_s,e_pred_J,dt_s,slowdown_idx,used_pred
0,5,29,1.274154543876648,1.274154543876648,1.274154543876648,5,0.0,0
1,29,26,0.6646413803100586,0.6646413803100586,0.6646413803100586,3,0.0,0
2,26,25,6.361540794372559,6.361540794372559,6.361540794372559,22,0.0,0
3,25,23,0.9280086159706116,0.9280086159706116,0.9280086159706116,4,0.0,0
4,23,20,3.1761534214019775,3.1761534214019775,3.1761534214019775,11,0.0,0
5,20,22,0.9209777116775513,0.9209777116775513,0.9209777116775513,4,0.0,0
6,22,19,5.032394886016846,5.032394886016846,5.032394886016846,17,0.0,0
7,19,17,0.5200961232185364,0.5200961232185364,0.5200961232185364,2,0.0,0
8,17,10,0.40302029252052307,0.40302029252052307,0.40302029252052307,2,0.0,0
9,10,9,0.3252691328525543,0.3252691328525543,0.3252691328525543,2,0.0,0
